prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
prodoric	MX000032	PvdS	dpinteract	metR	.	0	1	.	.	.	3.11e-01	10	2	3	9	5.63e-08	5.06e-07
prodoric	MX000032	PvdS	dpinteract	metR	.	0	1	.	.	.	3.11e-01	10	6	3	9	4.46e-07	4.02e-06
prodoric	MX000032	PvdS	dpinteract	metR	.	0	1	.	.	.	3.11e-01	10	7	3	9	4.46e-07	4.02e-06
prodoric	MX000032	PvdS	dpinteract	metR	.	0	1	.	.	.	3.11e-01	10	8	3	9	3.51e-06	3.16e-05
prodoric	MX000032	PvdS	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	9.13e-01	11	2	3	12	1.76e-07	1.58e-06
prodoric	MX000032	PvdS	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	9.13e-01	11	6	3	12	1.39e-06	1.25e-05
prodoric	MX000032	PvdS	collectf	EXPREG_000008e0	PhoP_S.enterica	3	2	.	.	.	9.13e-01	11	7	3	12	1.39e-06	1.25e-05
prodoric	MX000032	PvdS	prodoric	MX000091	ArcA	0	0	.	.	.	1.05e+00	23	2	4	47	1.84e-07	1.66e-06
prodoric	MX000032	PvdS	prodoric	MX000091	ArcA	0	0	.	.	.	1.05e+00	23	6	4	47	2.77e-06	2.50e-05
prodoric	MX000032	PvdS	prodoric	MX000091	ArcA	0	0	.	.	.	1.05e+00	23	7	4	47	2.77e-06	2.50e-05
prodoric	MX000032	PvdS	prodoric	MX000013	Fur	0	0	.	.	.	1.44e+00	6	3	3	14	2.71e-07	2.43e-06
prodoric	MX000032	PvdS	prodoric	MX000013	Fur	0	0	.	.	.	1.44e+00	6	5	3	14	2.13e-06	1.92e-05
prodoric	MX000032	PvdS	prodoric	MX000013	Fur	0	0	.	.	.	1.44e+00	6	7	3	14	2.13e-06	1.92e-05
prodoric	MX000032	PvdS	dpinteract	rpoD15	.	0	0	.	.	.	2.12e+00	10	2	4	51	4.25e-07	3.83e-06
prodoric	MX000032	PvdS	prodoric	MX000011	RhlR	0	0	.	.	.	5.73e+00	34	3	3	22	1.06e-06	9.53e-06
prodoric	MX000032	PvdS	collectf	EXPREG_00001610	PsrA_P.aeruginosa	0	0	.	.	.	6.09e+00	67	2	2	3	1.11e-06	9.98e-06
prodoric	MX000032	PvdS	collectf	EXPREG_00001610	PsrA_P.aeruginosa	0	0	.	.	.	6.09e+00	67	6	2	3	4.43e-06	3.99e-05
prodoric	MX000032	PvdS	collectf	EXPREG_00001610	PsrA_P.aeruginosa	0	0	.	.	.	6.09e+00	67	7	2	3	4.43e-06	3.99e-05
prodoric	MX000032	PvdS	meme.xml	2	MEME	0	0	.	.	.	7.06e+00	125	6	3	12	1.36e-06	1.22e-05
##
# Detailed descriptions of columns in this file:
#
# prim_db:	The name of the database (file name) that contains the primary motif.
# prim_id:	A name for the primary motif that is unique in the motif database file.
# prim_alt:	An alternate name of the primary motif that may be provided
#		in the motif database file.
# sec_db:	The name of the database (file name) that contains the secondary motif.
# sec_id:	A name for the motif that is unique in the motif database file.
# sec_alt:	An alternate name of the secondary motif that may be provided
#		in the motif database file.
# trim_left:	Number of positions trimmed from left of secondary motif
# trim_right:	Number of positions trimmed from right of secondary motif
# If the next three fields are not blank, the motif is redundant with a more significant ('parent') motif.
# red_db:	The database (file name) that contains the parent motif.
# red_id:	A name for the parent motif that is unique in the motif database file.
# red_alt:	An alternate name of the parent motif that may be provided
#		in the motif database file.
# E-value:	The expected number motifs that would have least one
#		spacing as enriched as the best spacing for this secondary.
#		The E-value is the best spacing p-value multiplied by the number of motifs in the
#		input database(s).
# gap:		The distance between the edge of the primary and the (trimmed) secondary motif.
# orient:	The (combination) of quadrants for which occurrences
#		of this spacing are combined.
# count:	The number of occurrences of the secondary motif with the
#		given spacing and orientation to the primary motif.
# total:	The total number of occurrences of the secondary motif within the
#		margins around the best primary motif occurrence.
# adj_p-value:	The p-value of the gap and orientation, adjusted for
#		nine combinations of quadrants times the number of gaps tested
#		(as controlled by the -range switch).
# p-value:	The p-value of the gap and orientation adjusted only for the number of gaps tested.
